enabled,name,url,image,bonus,forwardParams
0,Instaspin,https://track.rdtrk.xyz/click/100,{baseUrl}/images/logos/instaspin1.png,"Bonus fino a <strong>1.000&euro;</strong>+100 giri gratuiti",clickid,,https://mmltrk.com/?a=226&oc=2649&c=7575&s1=DIRECT&s2=123456789&s3=instaspin,
1,"Quick Win",https://track.rdtrk.xyz/click/95,{baseUrl}/images/logos/quickwin.png,"100% fino a <strong>500&euro;</strong> +200 giri gratuiti",clickid,"p1 GEPC 65",https://mmltrk.com/?a=226&oc=2620&c=7535&s1=DIRECT&s2=123456789&s3=quickwin,
1,Bankonbet,https://track.rdtrk.xyz/click/99,{baseUrl}/images/logos/bankonbet.png,"100% fino a <strong>500&euro;</strong> +200 giri gratuiti",clickid,"p2 GEPC 60",https://mmltrk.com/?a=226&oc=2631&c=7565&s1={sub2}&s2={clickid}&s3=bankonbet,
1,"888 Casino",https://track.rdtrk.xyz/click/1,{baseUrl}/images/logos/888casino.png,"20€ gratis + fino a <strong>1.000&euro;</strong>+ 50 giri gratuiti",clickid,CPA,https://mmltrk.com/?a=226&oc=503&c=4567&s1=DIRECT&s2=123456789&s3=888casino,
1,Spinanga,https://track.rdtrk.xyz/click/93,{baseUrl}/images/logos/spinanga.png,"100% fino a <strong>500&euro;</strong> +200 giri gratuiti",clickid,CPA,https://mmltrk.com/?a=226&oc=2582&c=7479&s1=DIRECT&s2=123456789&s3=spinanga,
1,RoosterBet,https://track.rdtrk.xyz/click/91,{baseUrl}/images/logos/roosterbet.png,"100% fino a <strong>1.000&euro;</strong> +100 giri gratuiti",clickid,,https://mmltrk.com/?a=226&oc=2575&c=7470&s1=DIRECT&s2=123456789&s3=rooster,
1,Lucky7,https://track.rdtrk.xyz/click/98,{baseUrl}/images/logos/lucky7.png,"Bonus fino a <strong>2.000&euro;</strong>+200 giri gratuiti",clickid,,https://mmltrk.com/?a=226&oc=2609&c=7549&s1=DIRECT&s2=123456789&s3=lucky7,
1,"Red Dice",https://track.rdtrk.xyz/click/96,{baseUrl}/images/logos/reddice.png,"200% fino a <strong>1.000&euro;</strong> +10% Cashback",clickid,,https://mmltrk.com/?a=226&oc=2611&c=7542&s1=DIRECT&s2=123456789&s3=reddice,
0,"Slots Palace",https://track.rdtrk.xyz/click/97,{baseUrl}/images/logos/slotspalace.png,"200% fino a <strong>500&euro;</strong> +200 giri gratuiti",clickid,"p2 GEPC 65",https://mmltrk.com/?a=226&oc=2626&c=7544&s1=DIRECT&s2=123456789&s3=spinpalaceIT,
0,Excitewin,https://track.rdtrk.xyz/click/56,{baseUrl}/images/logos/excitewin.png,"100% fino a <strong>500&euro;</strong> +200 giri gratuiti",clickid,,https://mmltrk.com/?a=226&oc=2189&c=6845&s1=DIRECT&s2=123456789&s3=excitewin,
